app_id,y_prob,prediction_label
com.amech.hunting.jungle.animals,0.006402560384181309,0
com.CallRecord,0.23874181200124167,0
com.goru.aiphotoenhancer,0.013261026928793388,0
com.adobe.spark.post,0.21801066981052256,0
com.aspiration.postermaker.editor,0.020565238990560734,0
com.businessmarketing,0.13029481109573876,0
com.delgeo.desygner,0.732282394797718,1
com.skysoft.removalfree,0.013988844651224483,0
com.socialmedia.socialmediapostmaker,0.10447148939103008,0
rs.ignite.paintation,0.0166523360104595,0
toon.photo.cartoon.editor,0.2536574324543765,0
com.johnboysoftware.jbv1,0.013248108604482481,0
com.navmii.android.dashcam,0.018241682911990503,0
com.seeworld.gljdw,0.05697701849039334,0
com.tsdweb.cirro,0.010720773992126379,0
com.vertai.vertalpr,0.01584927175729571,0
ie.assettrac.tirecheck.tirecheck,0.011399977889733513,0
com.chess.master3d,0.0065688074081281566,0
com.quarzo.fourinarow,0.0073023373665065784,0
com.sandstormi.bloodhonor,0.005522825573251318,0
com.zingmagic.backgammonvfree,0.005778998591444763,0
com.zingmagic.checkersvfree,0.00577596280689554,0
com.zingmagic.chessvfree,0.005437673146866211,0
com.zingmagic.chinesechessvfree,0.005411499731562137,0
com.zingmagic.gomokuvfree,0.005100951066830908,0
bible.and.strongs.concordance,0.02715178452855994,0
com.amharicbiblefree.book.AOTKKDRVLFRBERSXW,0.018858156692012972,0
com.dictamp.deutschsynonymeworterbuch,0.005984952126184205,0
com.dictamp.englishfrench,0.007285917720640775,0
com.dictamp.englishpoems,0.011310318353026481,0
com.dictamp.engpol,0.011370709977174652,0
com.dictamp.german,0.009287572171933009,0
com.flyersoft.moonreader,0.024597123464455424,0
com.foobnix.pdf.reader,0.027195836517401047,0
com.hindirashifal.rashifal2021,0.06061062974237894,0
com.hsnapps.englishgermandictionary,0.00831725915276778,0
com.mackin.via.reader,0.00756340896787681,0
com.orchid.malayalam_dictionary,0.13440419207336532,0
com.selvasai.diodict.five,0.11593383376090345,0
com.translator.dictionarytrru,0.03570656054942563,0
com.translator.rusexpdict,0.07049602912544112,0
com.ttdic.synonymsru,0.006952506645233174,0
com.ttdictionary.germanturkish,0.009153169118570479,0
com.ttdictionary.ruseng,0.027048060938656648,0
com.ttdictionary.russianbiblienc,0.014745619150929878,0
com.ttdictionary.russianfrench,0.008416530801439689,0
com.ttdictionary.russianspanish,0.007912974728786293,0
com.ttdictionary.ukrainianenglish,0.012647687030426591,0
com.vd.worldgeneralknowledge,0.030432189859751047,0
com.vestracode.readme,0.053929772471244454,0
info.hasanaga.azeeng,0.007614876598978124,0
info.hasanaga.azerus,0.012999886680639724,0
net.fileden.dictionary,0.02318163724296114,0
ua.mybible,0.006420945386293543,0
world.country.guide.oz,0.008648979865205339,0
com.accela.pma,0.016484949682195146,0
com.adecco.app20,0.4207132572341715,0
com.airgms.mobile,0.22540491262226175,0
com.appteam.docusketch,0.018067952611332153,0
com.autoroutesante.iCyclop,0.022997588742092418,0
com.bmc.selfservice.mobile,0.011000893102315362,0
com.bpmobile.iscanner.free,0.24168647238470548,0
com.companyname.Unimovil,0.009777694883504743,0
com.deltatechnepal.delta_sales_app,0.017275476507642305,0
com.digistore24.reports,0.028746246383429812,0
com.fareclock.tc,0.015432080946466333,0
com.flick2know.gt,0.03810186894826556,0
com.getjobber.jobber,0.08908769713889506,0
com.gigsmart.requester,0.015718605943330195,0
com.hirist.jobseeker,0.229471182374649,0
com.icapture.powerscan,0.023519127931879116,0
com.intellifluence.intellifluence,0.018891908533258322,0
com.ionicframework.snapaddybusinesscards938320,0.09571249903596865,0
com.itgurussoftware.android.peoplehr,0.11487412938811128,0
com.mailchimp.mailchimp,0.5073458449836556,0
com.markate.markatepro,0.09219147627082086,0
com.method.methodcrm,0.024904078387275774,0
com.mhelpdesk.endeavor,0.02073958165836603,0
com.mobisystems.editor.office_with_reg,0.44950859937740545,0
com.pegasustranstech.transflonowplus,0.0899477585138819,0
com.pennyapp.pennyy,0.07821027976855348,0
com.perfectcorp.ymkbusiness,0.009415588787016479,0
com.plangrid.android,0.05054609369396067,0
com.procurify.client,0.05645997410062763,0
com.spatialnetworks.fulcrum,0.01332894202363625,0
com.tm.mms.TeleMessageClientApp,0.7788943003375535,1
com.trane.bassuite.android,0.01012457184138742,0
com.vaion.vcore,0.01970585780946396,0
com.viasql.classic,0.014687409040479316,0
com.wantedly.android.namecard_scanner,0.6471943371317223,1
cz.dactylgroup.smartsupp.android,0.9941141798166522,1
io.doubletick.mobile.crm,0.7819487823119499,1
io.shepherdworkshop.app,0.009439415690552974,0
nl.ibridge.planning,0.09221421394500481,0
org.geminishalesolutions.gemini,0.011387182866924504,0
ru.dikidi.beauty.business,0.10207926487484728,0
th.co.gofive.empeo,0.2810628674016001,0
us.nextforce.app,0.013202877988609415,0
com.astarsoftware.spades,0.00712498150980712,0
com.casualino.vipbelote.single,0.009323606182494967,0
com.eryodsoft.android.cards.damedepique,0.005321307893215053,0
com.eryodsoft.android.cards.tarot.lite,0.005534869324829243,0
com.jpapale.cyberjass,0.009336691609164607,0
com.thecardgamescompany.bridge.free.cardgames.bridgecardgamesfree.bridgecardgame,0.008142921396595943,0
